addr - inst->addr : 73 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -67 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 298 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -81 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -148 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -230 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 16 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -263 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : -271 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 47 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 91 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 118 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 80 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 76 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 33 | direct_len : 2
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
ft_atoi(&inst->param_arr[i][0]) : 0 | inst->direct_len : 4
addr - inst->addr : 3 | direct_len : 2
Writing output program to Explosive_Kitty.cor
